Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Gain,Size,Unprocessed Accuracy,Processed Accuracy
1,1,daheng_12mm,100,50,45,45,250,10,Medium,0.4,0.16666666666666666
1,1,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,250,10,Big,0.0,0.36666666666666664
1,2,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,250,10,Big,0.0,0.9666666666666667
1,3,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.3
1,3,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,250,10,Big,0.16666666666666666,0.23333333333333334
2,0,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.0
2,0,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,250,10,Big,0.6333333333333333,0.6666666666666666
2,1,daheng_12mm,100,50,45,45,250,10,Medium,0.06666666666666667,0.06666666666666667
2,1,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,250,10,Big,0.0,0.2
2,2,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.0
2,2,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
2,3,daheng_12mm,100,50,45,45,250,10,Big,0.0,1.0
2,3,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.3333333333333333
2,3,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
0,0,daheng_12mm,100,50,45,45,250,15,Big,0.7666666666666667,0.23333333333333334
0,0,daheng_12mm,100,50,45,45,250,15,Medium,0.36666666666666664,0.0
0,0,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
0,1,daheng_12mm,100,50,45,45,250,15,Big,0.5,0.5333333333333333
0,1,daheng_12mm,100,50,45,45,250,15,Medium,0.26666666666666666,0.3
0,1,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,250,15,Big,0.0,0.1
0,2,daheng_12mm,100,50,45,45,250,15,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,250,15,Big,0.9333333333333333,0.8
0,3,daheng_12mm,100,50,45,45,250,15,Medium,0.36666666666666664,0.03333333333333333
0,3,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,250,15,Big,1.0,0.6666666666666666
1,0,daheng_12mm,100,50,45,45,250,15,Medium,0.9,0.0
1,0,daheng_12mm,100,50,45,45,250,15,Small,0.16666666666666666,0.0
1,1,daheng_12mm,100,50,45,45,250,15,Big,0.4666666666666667,0.5
1,1,daheng_12mm,100,50,45,45,250,15,Medium,0.26666666666666666,0.3
1,1,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,250,15,Big,0.0,0.4
1,2,daheng_12mm,100,50,45,45,250,15,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,250,15,Big,0.9333333333333333,0.4666666666666667
1,3,daheng_12mm,100,50,45,45,250,15,Medium,0.4,0.23333333333333334
1,3,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,250,15,Big,0.5666666666666667,0.3
2,0,daheng_12mm,100,50,45,45,250,15,Medium,0.8,0.03333333333333333
2,0,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,250,15,Big,0.6,0.5666666666666667
2,1,daheng_12mm,100,50,45,45,250,15,Medium,0.4,0.36666666666666664
2,1,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,250,15,Big,0.0,0.13333333333333333
2,2,daheng_12mm,100,50,45,45,250,15,Medium,0.0,0.0
2,2,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
2,3,daheng_12mm,100,50,45,45,250,15,Big,1.0,0.43333333333333335
2,3,daheng_12mm,100,50,45,45,250,15,Medium,0.3,0.03333333333333333
2,3,daheng_12mm,100,50,45,45,250,15,Small,0.0,0.0
0,0,daheng_12mm,100,50,45,45,500,5,Big,0.8666666666666667,0.7666666666666667
0,0,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
0,0,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
0,1,daheng_12mm,100,50,45,45,500,5,Big,0.9,0.9
0,1,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
0,1,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,500,5,Big,0.0,0.8
0,2,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,500,5,Big,0.0,0.9333333333333333
0,3,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.43333333333333335
0,3,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,500,5,Big,1.0,0.7
1,0,daheng_12mm,100,50,45,45,500,5,Medium,0.5666666666666667,0.06666666666666667
1,0,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,500,5,Big,0.2,0.26666666666666666
1,1,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
1,1,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,500,5,Big,0.0,0.9
1,2,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,500,5,Big,1.0,0.3
1,3,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.6333333333333333
1,3,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,500,5,Big,0.1,0.0
2,0,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
2,0,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,500,5,Big,1.0,1.0
2,1,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
2,1,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,500,5,Big,0.0,0.8666666666666667
2,2,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.0
2,2,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
2,3,daheng_12mm,100,50,45,45,500,5,Big,0.0,1.0
2,3,daheng_12mm,100,50,45,45,500,5,Medium,0.0,0.6
2,3,daheng_12mm,100,50,45,45,500,5,Small,0.0,0.0
0,0,daheng_12mm,100,50,45,45,500,10,Big,0.6666666666666666,0.9333333333333333
0,0,daheng_12mm,100,50,45,45,500,10,Medium,0.8,0.1
0,0,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
0,1,daheng_12mm,100,50,45,45,500,10,Big,0.9666666666666667,1.0
0,1,daheng_12mm,100,50,45,45,500,10,Medium,0.03333333333333333,0.0
0,1,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,500,10,Big,0.0,0.6
0,2,daheng_12mm,100,50,45,45,500,10,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,500,10,Big,1.0,1.0
0,3,daheng_12mm,100,50,45,45,500,10,Medium,0.5,0.4
0,3,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,500,10,Big,1.0,0.9
1,0,daheng_12mm,100,50,45,45,500,10,Medium,0.9666666666666667,0.13333333333333333
1,0,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,500,10,Big,0.9,0.7
1,1,daheng_12mm,100,50,45,45,500,10,Medium,0.5,0.5333333333333333
1,1,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,500,10,Big,0.0,0.6333333333333333
1,2,daheng_12mm,100,50,45,45,500,10,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,500,10,Big,1.0,0.9666666666666667
1,3,daheng_12mm,100,50,45,45,500,10,Medium,0.7,0.7
1,3,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,500,10,Big,0.2,0.06666666666666667
2,0,daheng_12mm,100,50,45,45,500,10,Medium,0.7333333333333333,0.1
2,0,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,500,10,Big,1.0,1.0
2,1,daheng_12mm,100,50,45,45,500,10,Medium,0.0,0.0
2,1,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,500,10,Big,0.0,0.6
2,2,daheng_12mm,100,50,45,45,500,10,Medium,0.0,0.0
2,2,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
2,3,daheng_12mm,100,50,45,45,500,10,Big,1.0,0.8666666666666667
2,3,daheng_12mm,100,50,45,45,500,10,Medium,0.5333333333333333,0.6333333333333333
2,3,daheng_12mm,100,50,45,45,500,10,Small,0.0,0.0
0,0,daheng_12mm,100,50,45,45,500,15,Big,1.0,1.0
0,0,daheng_12mm,100,50,45,45,500,15,Medium,0.6666666666666666,0.03333333333333333
